name,ring,quadrant,isNew,description
Azure DevOps,Adopt,Platforms,FALSE,"Plan smarter, collaborate better, and ship faster with a set of modern dev services.Get unlimited, cloud-hosted private Git repos and collaborate to build better code with pull requests and advanced file management. Build, test, and deploy with CI/CD that works with any language, platform, and cloud. Connect to GitHub or any other Git provider and deploy continuously."
Bitnami Sealed Secrets,Adopt,Tools,FALSE,"Encrypt your Secret into a SealedSecret, which is safe to store - even inside a public repository. The SealedSecret can be decrypted only by the controller running in the target cluster and nobody else (not even the original author) is able to obtain the original Secret from the SealedSecret.."
Cert-Manager,Adopt,Tools,FALSE,Cloud native X.509 certificate management for Kubernetes and OpenShift.
Elastic Cloud on Kubernetes,Adopt,Platforms,FALSE,"With Elastic Cloud on Kubernetes (ECK) you can extend the basic Kubernetes orchestration capabilities to easily deploy, secure, upgrade your Elasticsearch cluster, and much more."
Fluent Bit,Adopt,Tools,FALSE,"Fluent Bit is a super fast, lightweight, and highly scalable logging and metrics processor and forwarder. It is the preferred choice for cloud and containerized environments."
Flux,Adopt,Tools,FALSE,Flux is a tool for keeping Kubernetes clusters in sync with sources of configuration (like Git repositories)
Google BigQuery,Adopt,Platforms,FALSE,"BigQuery is a serverless, cost-effective, and multicloud data warehouse designed to help you turn big data into valuable business insights."
Google Cloud Composer,Adopt,Platforms,FALSE,A fully managed workflow orchestration service built on Apache Airflow.
Google Cloud SQL,Adopt,Platforms,FALSE,"Cloud SQL is a service that delivers fully managed relational databases in the cloud. It offers MySQL, PostgreSQL, and SQL Server database engines."
Google Cloud Storage,Adopt,Platforms,FALSE,Cloud Storage is a service for storing objects in Google Cloud. An object is an immutable piece of data consisting of a file of any format.
Google Kubernetes Engine,Adopt,Platforms,FALSE,"GKE is the industry's first fully managed Kubernetes service with full Kubernetes API, 4-way autoscaling, release channels, and multi-cluster support."
Google Kubernetes Engine Enterprise,Trial,Platforms,TRUE,"Google Kubernetes Engine (GKE) is Google's managed Kubernetes service that you can use to deploy and operate containerized applications using Google's infrastructure. It provides the operational power of Kubernetes while managing many of the underlying components, such as the control plane and nodes, for you. GKE features are available in two tiers, or editions: a standard tier of core functionality available to all GKE users, and an enterprise tier with powerful features for governing, managing, and operating containerized workloads at enterprise scale."
Grafana,Adopt,Tools,FALSE,"Grafana helps you collect, correlate, and visualize data with beautiful dashboards — the open source data visualization and monitoring solution that drives informed decisions, enhances system performance, and streamlines troubleshooting."
Helm,Adopt,Tools,FALSE,"Helm helps you manage Kubernetes applications — Helm Charts help you define, install, and upgrade even the most complex Kubernetes application. Charts are easy to create, version, share, and publish — so start using Helm and stop the copy-and-paste."
Kibana,Adopt,Tools,FALSE,"Faster analytics, faster solutions. From data exploration to finding insights to sharing results, Kibana gives you the ability to understand your data quickly."
Kube Prometheus Stack,Adopt,Tools,FALSE,"kube-prometheus-stack collects Kubernetes manifests, Grafana dashboards, and Prometheus rules combined with documentation and scripts to provide easy to operate end-to-end Kubernetes cluster monitoring with Prometheus using the Prometheus Operator."
Kyverno,Adopt,Tools,FALSE,Kyverno is a policy engine designed for Kubernetes. Policies are managed as Kubernetes resources and no new language is required to write policies. This allows using familiar tools such as kubectl
Kyverno Policies,Adopt,Tools,FALSE,Kyverno is a policy engine designed for Kubernetes. Policies are managed as Kubernetes resources and no new language is required to write policies. This allows using familiar tools such as kubectl
Kyverno Policy Reporter,Adopt,Tools,FALSE,Kyverno is a policy engine designed for Kubernetes. Policies are managed as Kubernetes resources and no new language is required to write policies. This allows using familiar tools such as kubectl
Mend.io,Adopt,Platforms,TRUE,"Mend.io gives you all the tools you need to build a mature, proactive AppSec program that effectively manages application risk."
Nginx Ingress Controller,Adopt,Tools,FALSE,The NGINX Ingress Controller is an Ingress Controller implementation for NGINX and NGINX Plus that can load balance Websocket
Prometheus Adapter,Adopt,Tools,FALSE,"Prometheus Adapter for Kubernetes Metrics APIs. This repository contains an implementation of the Kubernetes Custom, Resource and External Metric APIs."
Prometheus Elasticsearch Exporter,Adopt,Tools,FALSE,"Prometheus exporter for various metrics about Elasticsearch, written in Go."
Site24x7,Adopt,Platforms,FALSE,"Site24x7 offers both free & paid monitoring services for your entire IT environment. Monitor the health and performance of websites, servers, networks. "
SonarCloud,Adopt,Platforms,TRUE,"SonarCloud is designed to help you achieve a state of Clean Code, that is, code with attributes that contribute to making your software reliable, maintainable, and secure. To do this, SonarCloud identifies both issues and security hotspots in your code."
SonarQube,Adopt,Tools,FALSE,"SonarQube is a self-managed, automatic code review tool that systematically helps you deliver Clean Code. As a core element of our Sonar solution , SonarQube integrates into your existing workflow and detects issues in your code to help you perform continuous code inspections of your projects."
Terraform,Adopt,Tools,FALSE,Terraform is an infrastructure as code tool that enables you to safely and predictably provision and manage infrastructure in any cloud.
Terraform Module: Project Factory,Adopt,Tools,FALSE,"This module allows you to create opinionated Google Cloud Platform projects. It creates projects and configures aspects like Shared VPC connectivity, IAM access, Service Accounts, and API enablement to follow best practices."
Terraform Provider: Acme,Adopt,Tools,FALSE,"The Automated Certificate Management Environment (ACME) is an evolving standard for the automation of a domain-validated certificate authority. Clients register themselves on an authority using a private key and contact information, and answer challenges for domains that they own by supplying response data issued by the authority via either HTTP or DNS. Via this process, they prove that they own the domains in question, and can then request certificates for them via the CA. No part of this process requires user interaction, a traditional blocker in obtaining a domain validated certificate"
Terraform Provider: Google,Adopt,Tools,FALSE,"The Terraform Google provider is a plugin that allows Terraform to manage resources on Google Cloud Platform. This provider is maintained by the Terraform team at Google and the Terraform team at HashiCorp. This is the google provider, containing generally available features. To use preview features or features at a beta launch stage, you may use the google-beta provider. Refer to the provider versions documentation for more information about how to use google-beta."
Terraform Provider: Google-Beta,Adopt,Tools,FALSE,The Terraform Google provider beta is a plugin that allows Terraform to manage resources on Google Cloud Platform. This provider is maintained by the Terraform team at Google and the Terraform team at HashiCorp. This is the google-beta provider which contains all the features in google provider as well as the preview features and features at a beta launch stage. See Provider Versions for more details on how to use google-beta
Terraform Provider: TLS,Adopt,Tools,FALSE,"The TLS provider provides utilities for working with Transport Layer Security keys and certificates. It provides resources that allow private keys, certificates and certificate requests to be created as part of a Terraform deployment."
Thanos,Adopt,Tools,FALSE,"Thanos provides a global query view, high availability, data backup with historical, cheap data access as its core features in a single binary. Those features can be deployed independently of each other. This allows you to have a subset of Thanos features ready for immediate benefit or testing, while also making it flexible for gradual roll outs in more complex environments."
Wiz,Adopt,Platforms,TRUE,"Use the Wiz Cloud Security Platform to build faster in the cloud, enabling security, dev and devops to work together in a self-service model built for the scale and speed of your cloud development."
